RoomGuavaTypeNames,android.arch.persistence.room.ext.RoomGuavaTypeNames,androidx.room.ext.RoomGuavaTypeNames
RoomRxJava2TypeNames,android.arch.persistence.room.ext.RoomRxJava2TypeNames,androidx.room.ext.RoomRxJava2TypeNames
RoomTypeNames,android.arch.persistence.room.ext.RoomTypeNames,androidx.room.ext.RoomTypeNames
RxJava2TypeNames,android.arch.persistence.room.ext.RxJava2TypeNames,androidx.room.ext.RxJava2TypeNames
SupportDbTypeNames,android.arch.persistence.room.ext.SupportDbTypeNames,androidx.room.ext.SupportDbTypeNames
ForeignKey,android.arch.persistence.room.ForeignKey,androidx.room.ForeignKey
GuavaRoom,android.arch.persistence.room.guava.GuavaRoom,androidx.room.guava.GuavaRoom
Ignore,android.arch.persistence.room.Ignore,androidx.room.Ignore
Index,android.arch.persistence.room.Index,androidx.room.Index
Insert,android.arch.persistence.room.Insert,androidx.room.Insert
InvalidationTracker,android.arch.persistence.room.InvalidationTracker,androidx.room.InvalidationTracker
RLog,android.arch.persistence.room.log.RLog,androidx.room.log.RLog
BundleUtil,android.arch.persistence.room.migration.bundle.BundleUtil,androidx.room.migration.bundle.BundleUtil
DatabaseBundle,android.arch.persistence.room.migration.bundle.DatabaseBundle,androidx.room.migration.bundle.DatabaseBundle
EntityBundle,android.arch.persistence.room.migration.bundle.EntityBundle,androidx.room.migration.bundle.EntityBundle
FieldBundle,android.arch.persistence.room.migration.bundle.FieldBundle,androidx.room.migration.bundle.FieldBundle
ForeignKeyBundle,android.arch.persistence.room.migration.bundle.ForeignKeyBundle,androidx.room.migration.bundle.ForeignKeyBundle
IndexBundle,android.arch.persistence.room.migration.bundle.IndexBundle,androidx.room.migration.bundle.IndexBundle
PrimaryKeyBundle,android.arch.persistence.room.migration.bundle.PrimaryKeyBundle,androidx.room.migration.bundle.PrimaryKeyBundle
SchemaBundle,android.arch.persistence.room.migration.bundle.SchemaBundle,androidx.room.migration.bundle.SchemaBundle
SchemaEquality,android.arch.persistence.room.migration.bundle.SchemaEquality,androidx.room.migration.bundle.SchemaEquality
SchemaEqualityUtil,android.arch.persistence.room.migration.bundle.SchemaEqualityUtil,androidx.room.migration.bundle.SchemaEqualityUtil
Migration,android.arch.persistence.room.migration.Migration,androidx.room.migration.Migration
OnConflictStrategy,android.arch.persistence.room.OnConflictStrategy,androidx.room.OnConflictStrategy
LimitOffsetDataSource,android.arch.persistence.room.paging.LimitOffsetDataSource,androidx.room.paging.LimitOffsetDataSource
Collate,android.arch.persistence.room.parser.Collate,androidx.room.parser.Collate
ParsedQuery,android.arch.persistence.room.parser.ParsedQuery,androidx.room.parser.ParsedQuery
ParserErrors,android.arch.persistence.room.parser.ParserErrors,androidx.room.parser.ParserErrors
QueryType,android.arch.persistence.room.parser.QueryType,androidx.room.parser.QueryType
QueryVisitor,android.arch.persistence.room.parser.QueryVisitor,androidx.room.parser.QueryVisitor
Section,android.arch.persistence.room.parser.Section,androidx.room.parser.Section
SectionType,android.arch.persistence.room.parser.SectionType,androidx.room.parser.SectionType
SQLiteBaseListener,android.arch.persistence.room.parser.SQLiteBaseListener,androidx.room.parser.SQLiteBaseListener
SQLiteBaseVisitor,android.arch.persistence.room.parser.SQLiteBaseVisitor,androidx.room.parser.SQLiteBaseVisitor
SQLiteLexer,android.arch.persistence.room.parser.SQLiteLexer,androidx.room.parser.SQLiteLexer
SQLiteListener,android.arch.persistence.room.parser.SQLiteListener,androidx.room.parser.SQLiteListener
SQLiteParser,android.arch.persistence.room.parser.SQLiteParser,androidx.room.parser.SQLiteParser
SQLiteVisitor,android.arch.persistence.room.parser.SQLiteVisitor,androidx.room.parser.SQLiteVisitor
SqlParser,android.arch.persistence.room.parser.SqlParser,androidx.room.parser.SqlParser
SQLTypeAffinity,android.arch.persistence.room.parser.SQLTypeAffinity,androidx.room.parser.SQLTypeAffinity
Table,android.arch.persistence.room.parser.Table,androidx.room.parser.Table
Checks,android.arch.persistence.room.preconditions.Checks,androidx.room.preconditions.Checks
PrimaryKey,android.arch.persistence.room.PrimaryKey,androidx.room.PrimaryKey
Cache,android.arch.persistence.room.processor.cache.Cache,androidx.room.processor.cache.Cache
Context,android.arch.persistence.room.processor.Context,androidx.room.processor.Context
CustomConverterProcessor,android.arch.persistence.room.processor.CustomConverterProcessor,androidx.room.processor.CustomConverterProcessor
DaoProcessor,android.arch.persistence.room.processor.DaoProcessor,androidx.room.processor.DaoProcessor
DatabaseProcessor,android.arch.persistence.room.processor.DatabaseProcessor,androidx.room.processor.DatabaseProcessor
DeletionMethodProcessor,android.arch.persistence.room.processor.DeletionMethodProcessor,androidx.room.processor.DeletionMethodProcessor
EntityProcessor,android.arch.persistence.room.processor.EntityProcessor,androidx.room.processor.EntityProcessor
FieldProcessor,android.arch.persistence.room.processor.FieldProcessor,androidx.room.processor.FieldProcessor
InsertionMethodProcessor,android.arch.persistence.room.processor.InsertionMethodProcessor,androidx.room.processor.InsertionMethodProcessor
OnConflictProcessor,android.arch.persistence.room.processor.OnConflictProcessor,androidx.room.processor.OnConflictProcessor
PojoMethodProcessor,android.arch.persistence.room.processor.PojoMethodProcessor,androidx.room.processor.PojoMethodProcessor
PojoProcessor,android.arch.persistence.room.processor.PojoProcessor,androidx.room.processor.PojoProcessor
